SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,3220 SW Westbridge Pl,Seattle,WA,98126,1500000,5,4.0,Belvidere,3481,3738,2019,3,431,268,Active,November-23-2024 01:00 PM,November-23-2024 03:00 PM,https://www.redfin.com/WA/Seattle/3220-SW-Westbridge-Pl-98126/home/166593223,NWMLS as Distributed by MLS Grid,2311601,N,Y,47.571758,-122.373874
MLS Listing,,Single Family Residential,305 34th Ave E,Seattle,WA,98112,1399000,5,3.0,Madison Valley,2847,7151,1961,23,491,,Active,,,https://www.redfin.com/WA/Seattle/305-34th-Ave-E-98112/home/22718537,NWMLS as Distributed by MLS Grid,2306881,N,Y,47.6215871,-122.289016
MLS Listing,,Single Family Residential,1302 N 49th St,Seattle,WA,98103,1550000,5,3.0,Wallingford,3190,5800,1927,37,486,,Active,,,https://www.redfin.com/WA/Seattle/1302-N-49th-St-98103/home/119434,NWMLS as Distributed by MLS Grid,2302469,N,Y,47.6645171,-122.3418687
MLS Listing,,Townhouse,2367 S Forest St,Seattle,WA,98144,929999,6,3.0,N Beacon Hill,1830,3159,1990,53,508,,Active,,,https://www.redfin.com/WA/Seattle/2367-S-Forest-St-98144/home/167942,NWMLS as Distributed by MLS Grid,2296227,N,Y,47.5772501,-122.3016045
MLS Listing,,Single Family Residential,11838 79th Ave S,Seattle,WA,98178,1399999,6,4.0,Seattle,3635,4773,2020,65,385,50,Active,,,https://www.redfin.com/WA/Seattle/11838-79th-Ave-S-98178/home/171920893,NWMLS as Distributed by MLS Grid,2290039,N,Y,47.496043,-122.2342358
MLS Listing,,Single Family Residential,10008 Richwood Ave NW,Seattle,WA,98177,2100000,5,3.0,Blue Ridge,2640,6424,1946,1,795,124,Active,November-23-2024 11:00 AM,November-23-2024 02:00 PM,https://www.redfin.com/WA/Seattle/10008-Richwood-Ave-NW-98177/home/288666,NWMLS as Distributed by MLS Grid,2311386,N,Y,47.7017284,-122.3870047
MLS Listing,,Single Family Residential,3303 31st Ave SW,Seattle,WA,98126,1450000,5,5.0,West Seattle,2996,2496,2023,2,484,,Active,November-23-2024 01:00 PM,November-23-2024 03:00 PM,https://www.redfin.com/WA/Seattle/3303-31st-Ave-SW-98126/home/150678,NWMLS as Distributed by MLS Grid,2312058,N,Y,47.5736055,-122.3724348
MLS Listing,,Single Family Residential,2814 E Marion St,Seattle,WA,98122,2588800,5,4.5,Madrona,3648,4891,2023,3,710,,Active,,,https://www.redfin.com/WA/Seattle/2814-E-Marion-St-98122/home/147705,NWMLS as Distributed by MLS Grid,2311813,N,Y,47.6102957,-122.2954754
MLS Listing,,Single Family Residential,931 N 92nd St Unit A&B,Seattle,WA,98103,1495000,6,5.0,Greenwood,3458,2371,2024,7,432,,Active,November-22-2024 12:00 AM,November-22-2024 11:59 PM,https://www.redfin.com/WA/Seattle/931-N-92nd-St-98103/unit-B/home/191426204,NWMLS as Distributed by MLS Grid,2311287,N,Y,47.6954529,-122.3459001
MLS Listing,,Single Family Residential,2604 W Armour St,Seattle,WA,98199,3800000,6,4.5,Magnolia,4746,5100,2025,7,801,,Active,,,https://www.redfin.com/WA/Seattle/2604-W-Armour-St-98199/home/124011,NWMLS as Distributed by MLS Grid,2310988,N,Y,47.6448018,-122.390587
MLS Listing,,Single Family Residential,5412 21st Ave SW,Seattle,WA,98106,1475000,5,3.5,Puget Ridge,3150,5025,2013,7,468,,Active,November-22-2024 03:00 PM,November-22-2024 05:00 PM,https://www.redfin.com/WA/Seattle/5412-21st-Ave-SW-98106/home/161606,NWMLS as Distributed by MLS Grid,2310312,N,Y,47.5532704,-122.3597439
MLS Listing,,Single Family Residential,8215 22nd Ave NE,Seattle,WA,98115,2275000,5,4.5,Ravenna,3010,6600,2024,8,756,,Active,,,https://www.redfin.com/WA/Seattle/8215-22nd-Ave-NE-98115/home/310165,NWMLS as Distributed by MLS Grid,2310169,N,Y,47.6890273,-122.3048562
MLS Listing,,Single Family Residential,4009 48th Ave S,Seattle,WA,98118,2098000,5,4.0,Mt Baker,3960,7200,1918,8,530,,Active,,,https://www.redfin.com/WA/Seattle/4009-48th-Ave-S-98118/home/488504,NWMLS as Distributed by MLS Grid,2310568,N,Y,47.5673099,-122.2736436
